Nama_Perusahaan,Kelurahan,Kecamatan,Kota,Provinsi,Sektor,Klasifikasi_Perusahaan,Status_Kepemilikan,Pria,Wanita,Total_TK,TKA_Pria,TKA_Wanita,Disabilitas_Pria,Disabilitas_Wanita,PKWTT_Pria,PKWT_Pria,PKWTT_Wanita,PKWT_Wanita,PKWTT_Wanita_Disabilitas,PKWT_Wanita_Disabilitas,PKWTT_Pria_Disabilitas,PKWT_Pria_Disabilitas,Permodalan,PP,PKB
Perusahaan 924,Sukamaju Baru,Tapos,KOTA DEPOK,JAWA BARAT,"Perdagangan Eceran Berbagai Macam Barang Yang Utamanya Makanan, Minuman Atau Tembakau Di Supermarket/Minimarket",Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 925,Sukatani,Tapos,KOTA DEPOK,JAWA BARAT,Warung Makan,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 926,Cisalak,Sukmajaya,KOTA DEPOK,JAWA BARAT,"Perdagangan Eceran Berbagai Macam Barang Yang Utamanya Bukan Makanan, Minuman Atau Tembakau Di Toserba (Department Store)",Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 927,Kalibaru,Cilodong,KOTA DEPOK,JAWA BARAT,Reparasi Dan Perawatan Sepeda Motor,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 928,Mekarsari,Cimanggis,KOTA DEPOK,JAWA BARAT,Konstruksi Jalan Raya,Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 929,Sukmajaya,Sukmajaya,KOTA DEPOK,JAWA BARAT,Perdagangan Besar Peralatan Telekomunikasi,Kecil,Swasta,16,2,18,0,0,0,0,15,1,2,0,0,0,0,0,PMA,Ya,Tidak
Perusahaan 930,Kemiri Muka,Beji,KOTA DEPOK,JAWA BARAT,Perdagangan Eceran Melalui Media Untuk Barang Campuran Sebagaimana Tersebut Dalam 47911 S.d. 47913,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 931,Bojongsari Baru,Bojongsari,KOTA DEPOK,JAWA BARAT,Perdagangan Eceran Keliling Perlengkapan Rumah Tangga Dan Perlengkapan Dapur,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 932,Sukmajaya,Sukmajaya,KOTA DEPOK,JAWA BARAT,Perdagangan Eceran Bahan Bakar Kendaraan Di Spbu,Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 933,Rangkapan Jaya Baru,Pancoran Mas,KOTA DEPOK,JAWA BARAT,Restoran,Belum Input Data,Persero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 934,Depok Jaya,Pancoran Mas,KOTA DEPOK,JAWA BARAT,"Perdagangan Eceran Pakaian, Alas Kaki Dan Pelengkap Pakaian Bekas",Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 935,Sukmajaya,Sukmajaya,KOTA DEPOK,JAWA BARAT,Perdagangan Besar Peralatan Dan Perlengkapan Rumah Tangga,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 936,Sukamaju Baru,Tapos,KOTA DEPOK,JAWA BARAT,Aktivitas Perparkiran Di Luar Badan Jalan (Off Street Parking),Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 937,Kedaung,Sawangan,KOTA DEPOK,JAWA BARAT,"Reparasi Produk Logam Siap Pasang Untuk Bangunan, Tangki, Tandon Air Dan Generator Uap",Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 938,Pondok Cina,Beji,KOTA DEPOK,JAWA BARAT,Penerbitan Piranti Lunak (Software),Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 939,Sukmajaya,Sukmajaya,KOTA DEPOK,JAWA BARAT,Perdagangan Besar Alat Tulis Dan Gambar,Belum Input Data,Persero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 940,Bedahan,Sawangan,KOTA DEPOK,JAWA BARAT,Industri Produk Roti Dan Kue,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 941,Cimpaeun,Tapos,KOTA DEPOK,JAWA BARAT,Industri Produk Roti Dan Kue,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 942,Kalibaru,Cilodong,KOTA DEPOK,JAWA BARAT,"Perdagangan Besar Genteng, Batu Bata, Ubin Dan Sejenisnya Dari Tanah Liat, Kapur, Semen Atau Kaca",Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 943,Baktijaya,Sukmajaya,KOTA DEPOK,JAWA BARAT,Konstruksi Gedung Tempat Tinggal,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 944,Pondok Cina,Beji,KOTA DEPOK,JAWA BARAT,Jasa Pengujian Laboratorium,Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 945,Pangkalan Jati,Cinere,KOTA DEPOK,JAWA BARAT,Warung Makan,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 946,Rangkapan Jaya Baru,Pancoran Mas,KOTA DEPOK,JAWA BARAT,Aktivitas Agen Perjalanan Wisata,Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 947,Beji,Beji,KOTA DEPOK,JAWA BARAT,Industri Barang Dari Logam Mulia Untuk Keperluan Teknik Dan Atau Laboratorium,Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Swasta Nasional,Tidak,Tidak
Perusahaan 948,Rangkapan Jaya Baru,Pancoran Mas,KOTA DEPOK,JAWA BARAT,Pendidikan Sekolah Menengah Tingkat Pertama/Madrasah Tsanawiyah Swasta,Belum Input Data,Yayasan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 949,Kalimulya,Cilodong,KOTA DEPOK,JAWA BARAT,Perdagangan Besar Makanan Dan Minuman Lainnya,Belum Input Data,Persero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 950,Kalibaru,Cilodong,KOTA DEPOK,JAWA BARAT,Konstruksi Gedung Tempat Tinggal,Belum Input Data,Persero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 951,Krukut,Limo,KOTA DEPOK,JAWA BARAT,Aktivitas Pengembangan Aplikasi Perdagangan Melalui Internet (E-Commerce),Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 952,Jatijajar,Tapos,KOTA DEPOK,JAWA BARAT,Industri Pengeringan Buah-Buahan Dan Sayuran,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 953,Harjamukti,Cimanggis,KOTA DEPOK,JAWA BARAT,Konstruksi Gedung Tempat Tinggal,Kecil,Swasta,10,2,12,1,0,0,0,10,0,2,0,0,0,0,0,PMA,Tidak,Tidak
Perusahaan 954,Baktijaya,Sukmajaya,KOTA DEPOK,JAWA BARAT,Aktivitas Konsultasi Manajemen Lainnya,Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 955,Sawangan Baru,Sawangan,KOTA DEPOK,JAWA BARAT,Perdagangan Besar Atas Dasar Balas Jasa (Fee) Atau Kontrak,Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 956,Harjamukti,Cimanggis,KOTA DEPOK,JAWA BARAT,Industri Makanan Dan Masakan Olahan,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 957,Pasir Putih,Sawangan,KOTA DEPOK,JAWA BARAT,Pendidikan Taman Kanak-Kanak Swasta/Raudatul Athfal/Bustanul Athfal,Belum Input Data,Yayasan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 958,Pancoran Mas,Pancoran Mas,KOTA DEPOK,JAWA BARAT,"Perdagangan Eceran Keliling Komoditi Makanan, Minuman Atau Tembakau Hasil Industri Pengolahan",Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 959,Beji,Beji,KOTA DEPOK,JAWA BARAT,"Industri Makaroni, Mie Dan Produk Sejenisnya",Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 960,Baktijaya,Sukmajaya,KOTA DEPOK,JAWA BARAT,"Perdagangan Eceran Berbagai Macam Barang Yang Utamanya Makanan, Minuman Atau Tembakau Di Supermarket/Minimarket",Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 961,Cinere,Cinere,KOTA DEPOK,JAWA BARAT,Industri Pencetakan Umum,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 962,Krukut,Limo,KOTA DEPOK,JAWA BARAT,null,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 963,Sukatani,Tapos,KOTA DEPOK,JAWA BARAT,Warung Makan,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 964,Leuwinanggung,Tapos,KOTA DEPOK,JAWA BARAT,Perdagangan Besar Produk Lainnya Ytdl,Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 965,Sukamaju,Cilodong,KOTA DEPOK,JAWA BARAT,Perdagangan Besar Berbagai Macam Barang,Belum Input Data,Persero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 966,Kalimulya,Cilodong,KOTA DEPOK,JAWA BARAT,"Perdagangan Eceran Berbagai Macam Barang Yang Utamanya Makanan, Minuman Atau Tembakau Di Supermarket/Minimarket",Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 967,Curug,Bojongsari,KOTA DEPOK,JAWA BARAT,Aktivitas Pengembangan Aplikasi Perdagangan Melalui Internet (E-Commerce),Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 968,Curug,Cimanggis,KOTA DEPOK,JAWA BARAT,Kedai Makanan,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 969,Cinangka,Sawangan,KOTA DEPOK,JAWA BARAT,Restoran,Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 970,Gandul,Cinere,KOTA DEPOK,JAWA BARAT,null,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 971,Harjamukti,Cimanggis,KOTA DEPOK,JAWA BARAT,Perdagangan Eceran Khusus Alat Permainan Dan Mainan Anak-Anak Di Toko,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 972,Cinere,Cinere,KOTA DEPOK,JAWA BARAT,Perdagangan Besar Atas Dasar Balas Jasa (Fee) Atau Kontrak,Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 973,Sukatani,Tapos,KOTA DEPOK,JAWA BARAT,Perdagangan Besar Atas Dasar Balas Jasa (Fee) Atau Kontrak,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 974,Cipayung Jaya,Cipayung,KOTA DEPOK,JAWA BARAT,Pendidikan Taman Kanak-Kanak Swasta/Raudatul Athfal/Bustanul Athfal,Belum Input Data,Yayasan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 975,Krukut,Limo,KOTA DEPOK,JAWA BARAT,Perdagangan Besar Atas Dasar Balas Jasa (Fee) Atau Kontrak,Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 976,Sawangan Baru,Sawangan,KOTA DEPOK,JAWA BARAT,"Perdagangan Eceran Berbagai Macam Barang Yang Utamanya Makanan, Minuman Atau Tembakau Di Supermarket/Minimarket",Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 977,Cisalak,Sukmajaya,KOTA DEPOK,JAWA BARAT,Perdagangan Eceran Kaki Lima Dan Los Pasar Komoditi Sayur-Sayuran,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 978,Depok,Pancoran Mas,KOTA DEPOK,JAWA BARAT,Industri Produk Roti Dan Kue,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 979,Sukamaju Baru,Tapos,KOTA DEPOK,JAWA BARAT,Aktivitas Jasa Perorangan Lainnya Ytdl,Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 980,Cimpaeun,Tapos,KOTA DEPOK,JAWA BARAT,"Perdagangan Eceran Berbagai Macam Barang Yang Utamanya Makanan, Minuman Atau Tembakau Di Supermarket/Minimarket",Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 981,Baktijaya,Sukmajaya,KOTA DEPOK,JAWA BARAT,Industri Makanan Dan Masakan Olahan,Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 982,Sukatani,Tapos,KOTA DEPOK,JAWA BARAT,Aktivitas Klinik Swasta,Belum Input Data,Persero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
